title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelid,final_1688_link,price judge,上传日期,itemid,最大价格,同款要求,空置，该列请勿删除，否则会导致数据错乱,l4
9月化妆品热销常规品- 【买一送一】SACE LADY 眉膏凝胶带刷二合一眉膏眉笔持久防水眉妆印章,#01 Light Brown,10.00 ,https://cf.shopee.ph/file/cn-11134207-7ras8-mal7etx44b7d67,http://shopee.ph/product/54469408/988174786,Makeup,眼部彩妆,IVCN2026082410486,'845842521,https://detail.1688.com/offer/1007669652131.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i10&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'988174786,20.00 ,100%同款（LFF）,,眉笔、眉粉
9月化妆品热销品牌品- Canmake Tokyo / 柔滑触感眼线液,[01] Deep Black,26.54 ,https://cf.shopee.sg/file/ed2c865956e5460f68ad8685e88d95a0,http://shopee.sg/product/1134916/1146357009,Makeup,眼部彩妆,IVCN2026082410488,'1183531906,https://detail.1688.com/offer/1075220568755.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i42&source=action%23offerItem%3Borigin%23cf.shopee.sg&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1146357009,20.00 ,100%同款,,眼线
9月化妆品热销品牌品- Canmake Tokyo / 柔滑触感眼线液,[02] Medium Brown,25.57 ,https://cf.shopee.sg/file/93f3dcb0824937ded8060eaf201f256d,http://shopee.sg/product/1134916/1146357009,Makeup,眼部彩妆,IVCN2026082410488,'1183531907,https://detail.1688.com/offer/1075220568755.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i42&source=action%23offerItem%3Borigin%23cf.shopee.sg&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1146357009,20.00 ,100%同款,,眼线
9月化妆品热销品牌品- 美宝莲持久哑光唇釉（裸色&粉色版） - 16小时持久显色，高饱和度，哑光,175 - Ringleader,17.52 ,https://cf.shopee.com.my/file/my-11134207-7rasc-mcj0dh1yynyded,http://shopee.com.my/product/21656722/1372819732,Makeup,唇部彩妆,IVCN2026082410491,'13251631365,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17574977008414142e0c38&token=J3LclwS7zVptKbhJgiaQfZdlI9rOffjwz5sNNb2436ucjOGOJSrYNMkwMqIZTy%2Ft,1688三档价,2026/8/24,'1372819732,20.00 ,100%同款（LFF）,,口红
9月化妆品热销常规品- Stila持久防水眼线液,Intense Black,3.60 ,https://cf.shopee.sg/file/sg-11134201-22100-83hwfuyhoajv5a,http://shopee.sg/product/3038185/1390301756,Makeup,眼部彩妆,IVCN2026082410493,'97694711563,https://detail.1688.com/offer/590582229645.html?amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1390301756,20.00 ,100%同款,,眼线
9月化妆品热销品牌品- EB Matte LTD 液体唇膏 5ml [哑光质地，轻盈，显色度高],DOLLY NUDE,2.73 ,https://cf.shopee.ph/file/ph-11134207-7r98q-lp1nps41xg4p9c,http://shopee.ph/product/78895515/1417879320,Makeup,唇部彩妆,IVCN2026082410495,'146903750663,https://detail.1688.com/offer/806268449478.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i21&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1417879320,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- EB Matte LTD 液体唇膏 5ml [哑光质地，轻盈，显色度高],MOROCCAN SPICE,2.73 ,https://cf.shopee.ph/file/ph-11134207-7r98y-lp1nlj93us4p85,http://shopee.ph/product/78895515/1417879320,Makeup,唇部彩妆,IVCN2026082410495,'190062963119,https://detail.1688.com/offer/806268449478.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i21&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1417879320,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- EB Matte LTD 液体唇膏 5ml [哑光质地，轻盈，显色度高],RED CARPET,3.31 ,https://cf.shopee.ph/file/ph-11134207-7r992-lp1nlj93xl9l1e,http://shopee.ph/product/78895515/1417879320,Makeup,唇部彩妆,IVCN2026082410495,'190062963120,https://detail.1688.com/offer/806268449478.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i21&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1417879320,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- EB Matte LTD 液体唇膏 5ml [哑光质地，轻盈，显色度高],SOFT CINNAMON,0.84 ,https://cf.shopee.ph/file/ph-11134207-7r98w-lp1nlj93yzu1b1,http://shopee.ph/product/78895515/1417879320,Makeup,唇部彩妆,IVCN2026082410495,'190062963122,https://detail.1688.com/offer/1029032690944.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'1417879320,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- EB Matte LTD 液体唇膏 5ml [哑光质地，轻盈，显色度高],PINK PEARL,0.84 ,https://cf.shopee.ph/file/ph-11134207-7r98w-lp1nlj93w6p54c,http://shopee.ph/product/78895515/1417879320,Makeup,唇部彩妆,IVCN2026082410495,'190062963118,https://detail.1688.com/offer/1029032690944.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'1417879320,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- EB Matte LTD 液体唇膏 5ml [哑光质地，轻盈，显色度高],SWEET STRAWBERRY,0.84 ,https://cf.shopee.ph/file/ph-11134207-7r98t-lp1nps421nu1f8,http://shopee.ph/product/78895515/1417879320,Makeup,唇部彩妆,IVCN2026082410495,'146903750667,https://detail.1688.com/offer/1029032690944.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'1417879320,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- 【8月1日至8月17日 | 买二享85折 | 买三享75折】悦诗风吟自动眉笔 0.3克,Color #5,3.60 ,https://cf.shopee.com.my/file/my-11134207-7r98o-lvy79i8vpai897,http://shopee.com.my/product/91463961/1517288551,Makeup,眼部彩妆,IVCN2026082410502,'255928603419,https://detail.1688.com/offer/640607405869.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1517288551,20.00 ,100%同款（LFF）,,眉笔、眉粉
9月化妆品热销品牌品- 【8月1日至8月17日 | 买二享85折 | 买三享75折】悦诗风吟自动眉笔 0.3克,Color #4,5.73 ,https://cf.shopee.com.my/file/my-11134201-7r98w-luuvqzdcd99sda,http://shopee.com.my/product/91463961/1517288551,Makeup,眼部彩妆,IVCN2026082410502,'2244554287,https://detail.1688.com/offer/640607405869.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1517288551,20.00 ,100%同款（LFF）,,眉笔、眉粉
9月化妆品热销常规品- LA Girl眉膏正品，所有色号均有现货 - 防水持久，打造自然眉妆,SoftBrown+Brush,3.20 ,https://cf.shopee.ph/file/ph-11134207-81ztk-mee7a4nundvnbc,http://shopee.ph/product/8064624/1569080156,Makeup,眼部彩妆,IVCN2026082410505,'261522448852,https://detail.1688.com/offer/669074653903.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1569080156,20.00 ,相似款,,眉笔、眉粉
9月化妆品热销常规品- Kiss Me Heroine 打造长卷发超防水黑粉色,Kiss Me Heroine Make Long and Curl Super Waterproof Black Pink,12.00 ,https://cf.shopee.ph/file/sg-11134201-22110-n0nvaxvhbxjvb1,http://shopee.ph/product/82265567/1749321166,Makeup,眼部彩妆,IVCN2026082410507,'42041944190,https://detail.1688.com/offer/844823603997.html?amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1749321166,20.00 ,100%同款（LFF）,,睫毛膏
9月化妆品热销常规品- SIVANNA SUPER MODEL 5倍浓密深黑睫毛膏 HF893 HF891 双头睫毛膏,HF893,3.95 ,https://cf.shopee.vn/file/vn-11134207-7ra0g-m84dggrtwz9j62,http://shopee.vn/product/63186636/1828273903,Makeup,眼部彩妆,IVCN2026082410509,'248063965228,https://detail.1688.com/offer/1059199979663.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i18&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'1828273903,20.00 ,相似款,,睫毛膏
9月化妆品热销品牌品- 美宝莲持久哑光唇釉 - 16小时持久显色，高显色度，防晕染，不掉色，哑光质地,220 - Ambitious,4.40 ,https://cf.shopee.com.my/file/my-11134207-7rasd-mcizrvpgilz963,http://shopee.com.my/product/21656722/1955202226,Makeup,唇部彩妆,IVCN2026082410511,'3386041595,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17574977008414142e0c38&token=J3LclwS7zVptKbhJgiaQfZdlI9rOffjwz5sNNb2436ucjOGOJSrYNMkwMqIZTy%2Ft,1688三档价,2026/8/24,'1955202226,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- 美宝莲持久哑光唇釉 - 16小时持久显色，高显色度，防晕染，不掉色，哑光质地,135 - Globetrotter,8.62 ,https://cf.shopee.com.my/file/my-11134207-7rash-mcizrh1pyw1x77,http://shopee.com.my/product/21656722/1955202226,Makeup,唇部彩妆,IVCN2026082410511,'3386041598,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17574977008414142e0c38&token=J3LclwS7zVptKbhJgiaQfZdlI9rOffjwz5sNNb2436ucjOGOJSrYNMkwMqIZTy%2Ft,1688三档价,2026/8/24,'1955202226,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- 美宝莲持久哑光唇釉 - 16小时持久显色，高显色度，防晕染，不掉色，哑光质地,115 - Founder,8.25 ,https://cf.shopee.com.my/file/my-11134207-7rasi-mcizr4eeh6pb80,http://shopee.com.my/product/21656722/1955202226,Makeup,唇部彩妆,IVCN2026082410511,'3386041597,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17574977008414142e0c38&token=J3LclwS7zVptKbhJgiaQfZdlI9rOffjwz5sNNb2436ucjOGOJSrYNMkwMqIZTy%2Ft,1688三档价,2026/8/24,'1955202226,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- 美宝莲持久哑光唇釉 - 16小时持久显色，高显色度，防晕染，不掉色，哑光质地,125 - Inspirer,19.34 ,https://cf.shopee.com.my/file/my-11134207-7rask-mcizr90bqdvp17,http://shopee.com.my/product/21656722/1955202226,Makeup,唇部彩妆,IVCN2026082410511,'3386041594,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17574977008414142e0c38&token=J3LclwS7zVptKbhJgiaQfZdlI9rOffjwz5sNNb2436ucjOGOJSrYNMkwMqIZTy%2Ft,1688三档价,2026/8/24,'1955202226,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- 美宝莲持久哑光唇釉 - 16小时持久显色，高显色度，防晕染，不掉色，哑光质地,205 - Assertive,17.70 ,https://cf.shopee.com.my/file/my-11134207-7rasd-mcizrn2f5rn33f,http://shopee.com.my/product/21656722/1955202226,Makeup,唇部彩妆,IVCN2026082410511,'3386041593,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17574977008414142e0c38&token=J3LclwS7zVptKbhJgiaQfZdlI9rOffjwz5sNNb2436ucjOGOJSrYNMkwMqIZTy%2Ft,1688三档价,2026/8/24,'1955202226,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- 美宝莲持久哑光唇釉 - 16小时持久显色，高显色度，防晕染，不掉色，哑光质地,225 - Delicate,9.49 ,https://cf.shopee.com.my/file/my-11134207-7rasf-mcizrys60ldb5f,http://shopee.com.my/product/21656722/1955202226,Makeup,唇部彩妆,IVCN2026082410511,'3386041601,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17574977008414142e0c38&token=J3LclwS7zVptKbhJgiaQfZdlI9rOffjwz5sNNb2436ucjOGOJSrYNMkwMqIZTy%2Ft,1688三档价,2026/8/24,'1955202226,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- 美宝莲持久哑光唇釉 - 16小时持久显色，高显色度，防晕染，不掉色，哑光质地,130 - Self Starter,12.83 ,https://cf.shopee.com.my/file/my-11134207-7ras9-mcizrc5954n989,http://shopee.com.my/product/21656722/1955202226,Makeup,唇部彩妆,IVCN2026082410511,'3386041596,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17574977008414142e0c38&token=J3LclwS7zVptKbhJgiaQfZdlI9rOffjwz5sNNb2436ucjOGOJSrYNMkwMqIZTy%2Ft,1688三档价,2026/8/24,'1955202226,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- 美宝莲持久哑光唇釉 - 16小时持久显色，高显色度，防晕染，不掉色，哑光质地,210 - Versatile,14.66 ,https://cf.shopee.com.my/file/my-11134207-7rasf-mcizrqf4954fcb,http://shopee.com.my/product/21656722/1955202226,Makeup,唇部彩妆,IVCN2026082410511,'3386041600,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212bc12a17574977008414142e0c38&token=J3LclwS7zVptKbhJgiaQfZdlI9rOffjwz5sNNb2436ucjOGOJSrYNMkwMqIZTy%2Ft,1688三档价,2026/8/24,'1955202226,20.00 ,100%同款（LFF）,,口红
9月化妆品热销品牌品- 美宝莲持久哑光唇釉 - 亚马逊裸色,Maybelline Super Stay Matte Ink - Amazonian Nude,15.52 ,https://cf.shopee.com.my/file/my-11134201-7rasb-m178jd3e3tr57c,http://shopee.com.my/product/21516516/1981142261,Makeup,唇部彩妆,IVCN2026082410520,'60353040742,https://detail.1688.com/offer/817263588761.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2146915b17574976462671966e0d33&token=J3LclwS7zVptKbhJgiaQfYsIgiqqIOrCRS2Y0XZWVT5LTbLPw7LIjM0OXby7tITr,1688三档价,2026/8/24,'1981142261,15.52 ,100%同款（LFF）,,口红
9月化妆品热销常规品- Fran Wilson Moodmatcher Luxe Twist Sticks唇膏笔，2.9克（美国）,Đỏ,2.85 ,https://cf.shopee.vn/file/vn-11134207-7ras8-mcnijhgky9wc5f,http://shopee.vn/product/122572609/2256133791,Makeup,唇部彩妆,IVCN2026082410522,'4309923712,https://detail.1688.com/offer/739313173592.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=6c6af537cc35cff91e8fefc5f2c35296&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B13A1AE6C7A123810AEBC1CD41938B69485CDEA86385118CA11B484850D4DC156E348394BC3CC3C62B9992F8828C4BE892ED4F0FE4AC68779C0014D71618B6E6E3CE387BFA9DEB6463AE24AC4BC9B60D0FC3356A3B8610ACE00D1EB77DAB50FA49E40629EA7DA7AD899C51D4CCFB719C624034B5538E8654ED297A233E665927D9289026D3633C59BF%26cbu_cps_trace_flag%3Dwrite,1688三档价,2026/8/24,'2256133791,2.85 ,相似款,,唇釉
9月化妆品热销品牌品- O.TWO.O 天然控油妆前乳 20ml,20ml*1,7.73 ,https://cf.shopee.vn/file/cn-11134207-820l4-mmdbuu3fvbpfd1,http://shopee.vn/product/151371701/2302693485,Makeup,面部彩妆,IVCN2026082410524,'320699088578,https://detail.1688.com/offer/728760320075.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.30124514.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'2302693485,7.73 ,100%同款,,妆前乳
9月化妆品热销品牌品- SACE LADY控油、高遮瑕、持久、防水粉饼，3种颜色可选，10克,#01,5.56 ,https://cf.shopee.vn/file/cn-11134207-820l4-mq1khz9343648a,http://shopee.vn/product/83766754/2304344065,Makeup,面部彩妆,IVCN2026082410526,'194130847599,https://detail.1688.com/offer/993967212193.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'2304344065,5.56 ,100%同款,,蜜粉
9月化妆品热销品牌品- KISSME Heroine 顺滑液体眼线笔 超级持久（眼线笔，液体眼线笔，Heroine 眼线笔）,#03 Brown Black,1.78 ,https://cf.shopee.com.my/file/4033ddc744b290ce5a796d333a218a6b,http://shopee.com.my/product/134086100/2312659502,Makeup,眼部彩妆,IVCN2026082410528,'4582532109,https://detail.1688.com/offer/647678492795.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'2312659502,1.78 ,100%同款（LFF）,,眼线
9月化妆品热销品牌品- KISSME Heroine Make 长卷睫毛膏高级薄膜 #01 黑色（睫毛膏管，卷翘睫毛膏，睫毛膏纤维）,#01,7.50 ,https://cf.shopee.com.my/file/42b84a5c36b7bc495217cb261f8cb4ab,http://shopee.com.my/product/134086100/2313258548,Makeup,眼部彩妆,IVCN2026082410530,'4585175422,https://detail.1688.com/offer/888637938385.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'2313258548,7.50 ,100%同款（LFF）,,睫毛膏
9月化妆品热销品牌品- KIMUSE品牌眉笔叉头液体眉笔4头防水纹眉笔持久,02#BRUNETTE,2.41 ,https://cf.shopee.ph/file/5ffe9db026ee44690491fbca2093a835,http://shopee.ph/product/160033468/2395471560,Makeup,眼部彩妆,IVCN2026082410532,'4906757284,https://detail.1688.com/offer/773131460096.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'2395471560,2.41 ,100%同款（LFF）,,眉笔、眉粉
9月化妆品热销品牌品- KIMUSE品牌眉笔叉头液体眉笔4头防水纹眉笔持久,03#BLACK BROWN,2.64 ,https://cf.shopee.ph/file/7983227a3af65eedc315ca55a2d75a48,http://shopee.ph/product/160033468/2395471560,Makeup,眼部彩妆,IVCN2026082410532,'4906757285,https://detail.1688.com/offer/773131460096.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i99&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'2395471560,2.64 ,100%同款（LFF）,,眉笔、眉粉
9月化妆品热销常规品- Phấn Má Hồng 3CE Mood Recipe 腮红 5.5g [Mono Pink - Rose Beige - Delectable - City Mauve],#City Mauve,8.90 ,https://cf.shopee.vn/file/vn-11134207-81ztc-ml1uueynisjlee,http://shopee.vn/product/72177588/2458275097,Makeup,面部彩妆,IVCN2026082410535,'192502624919,https://detail.1688.com/offer/1068389578915.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'2458275097,8.90 ,100%同款,,腮红
9月化妆品热销品牌品- Peripera 丝绒墨水唇釉 [色号 #1- #44],#23 Nutty Nude,3.40 ,https://cf.shopee.com.my/file/sg-11134201-7rd4w-lwdzdh8w91on59,http://shopee.com.my/product/91486830/2504897230,Makeup,唇部彩妆,IVCN2026082410537,'95808802974,https://detail.1688.com/offer/793433690295.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'2504897230,3.40 ,100%同款（LFF）,,唇釉
9月化妆品热销品牌品- Colourette 多用途柔雾染膏,"[NO PLUSHIE] CTINT,Ava",9.80 ,https://cf.shopee.ph/file/ph-11134207-81ztk-mk6scm36i7er6b,http://shopee.ph/product/53427120/2504974511,Makeup,唇部彩妆,IVCN2026082410539,'238243455019,https://detail.1688.com/offer/1026127900151.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'2504974511,9.80 ,100%同款（LFF）,,唇釉
